ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Canabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamin,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1,35-40,F,Professional certificate/diploma,UK,Mixed White/Asian,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,Last Week,Last Decade,Never,Last Decade,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
2,25-34,M,Doctorate degree,UK,White,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,Last Week,Last Decade,Last Decade,Never,Last Day,Last Month,Last Day,Last Year,Never,Last Month,Never,Last Decade,Never,Last Decade,Last Year,Never,Last Month,Never,Never
3,35-40,M,Professional certificate/diploma,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,Last Day,Never,Never,Never,Last Day,Last Year,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Never
4,18-24,F,Masters degree,UK,White,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,Last Month,Never,Never,Last Year,Last Week,Last Decade,Last Month,Last Decade,Never,Never,Never,Last Decade,Never,Never,Never,Never,Last Decade,Never,Never
5,35-40,F,Doctorate degree,UK,White,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,Last Month,Decade Ago,Decade Ago,Never,Last Day,Last Year,Last Day,Never,Never,Decade Ago,Never,Never,Decade Ago,Never,Never,Last Decade,Last Decade,Never,Never
6,65+,F,Left school at 18 years,Canada,White,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,Last Decade,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
7,45-54,M,Masters degree,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,Last Day,Never,Never,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
8,35-40,M,Left school at 16 years,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,Last Week,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
9,35-40,F,Professional certificate/diploma,Canada,White,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,Last Month,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
10,55-64,M,Masters degree,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,Last Day,Decade Ago,Never,Decade Ago,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
11,25-34,F,University degree,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,Last Week,Never,Decade Ago,Never,Last Day,Last Decade,Last Week,Last Decade,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Decade Ago
12,45-54,M,"Some college or university, no certificate or degree",Other,White,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,Last Week,Decade Ago,Never,Never,Last Day,Last Month,Last Week,Last Decade,Never,Last Year,Never,Never,Never,Decade Ago,Never,Last Decade,Last Day,Never,Never
13,55-64,F,University degree,UK,White,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,Last Week,Decade Ago,Never,Last Month,Last Day,Last Year,Last Week,Decade Ago,Never,Never,Never,Never,Never,Decade Ago,Decade Ago,Decade Ago,Last Day,Never,Never
14,55-64,F,Professional certificate/diploma,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,Decade Ago,Never,Never,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
15,55-64,F,Professional certificate/diploma,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
16,55-64,M,University degree,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,Last Week,Last Decade,Last Decade,Never,Last Day,Decade Ago,Last Week,Last Decade,Never,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Never
17,35-40,F,"Some college or university, no certificate or degree",UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,Last Day,Never,Never,Decade Ago,Last Day,Last Year,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
18,45-54,M,Left school at 16 years,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,Last Day,Decade Ago,Decade Ago,Never,Last Day,Last Day,Last Month,Decade Ago,Never,Decade Ago,Never,Last Decade,Never,Decade Ago,Never,Decade Ago,Last Day,Never,Never
19,55-64,M,University degree,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,Last Day,Last Decade,Never,Last Decade,Last Day,Last Year,Last Day,Last Decade,Never,Last Decade,Never,Never,Last Decade,Decade Ago,Never,Decade Ago,Never,Never,Never
20,35-40,M,Professional certificate/diploma,UK,White,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,Last Month,Decade Ago,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Decade Ago,Never,Never,Never,Never,Last Day,Never,Decade Ago,Never,Never
21,45-54,M,Professional certificate/diploma,UK,White,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,Last Day,Decade Ago,Decade Ago,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Year,Never,Never
22,65+,M,Left school before 16 years,UK,White,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Decade Ago,Never,Never
23,45-54,M,University degree,UK,White,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,Last Month,Never,Never,Never,Last Week,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
24,45-54,M,Left school at 16 years,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,Last Day,Last Decade,Decade Ago,Last Week,Last Day,Last Decade,Last Day,Last Decade,Never,Never,Decade Ago,Never,Never,Decade Ago,Never,Never,Last Day,Never,Decade Ago
25,55-64,M,University degree,UK,White,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,Last Week,Decade Ago,Decade Ago,Decade Ago,Last Week,Decade Ago,Last Week,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Day,Never,Never
26,45-54,M,"Some college or university, no certificate or degree",UK,White,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,Last Week,Decade Ago,Last Decade,Never,Last Day,Decade Ago,Last Week,Last Decade,Never,Last Decade,Never,Never,Last Year,Last Decade,Never,Last Decade,Decade Ago,Never,Never
27,55-64,F,Left school at 18 years,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,Last Day,Never,Never,Last Decade,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
